output_linear_velocity,output_angular_velocity,distance_from_goal,angle_from_goal,lidar_depth_1,lidar_depth_2,lidar_depth_3,lidar_depth_4,lidar_depth_5,lidar_depth_6,lidar_depth_7,lidar_depth_8,lidar_depth_9,lidar_depth_10,lidar_depth_11,lidar_depth_12,lidar_depth_13,lidar_depth_14,lidar_depth_15,lidar_depth_16,lidar_depth_17,lidar_depth_18,lidar_depth_19,lidar_depth_20,lidar_depth_21,lidar_depth_22,lidar_depth_23,lidar_depth_24,lidar_depth_25,lidar_depth_26,lidar_depth_27,lidar_depth_28,lidar_depth_29,lidar_depth_30,lidar_depth_31,lidar_depth_32,lidar_depth_33,lidar_depth_34,lidar_depth_35,lidar_depth_36,lidar_depth_37,lidar_depth_38,lidar_depth_39,lidar_depth_40,lidar_depth_41,lidar_depth_42,lidar_depth_43,lidar_depth_44,lidar_depth_45,lidar_depth_46,lidar_depth_47,lidar_depth_48,lidar_depth_49,lidar_depth_50
0,0.3490658503988659,66.007575322837,1.5859466826696664,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,83.48182142774988,79.24597122916089,75.71430150234154,72.77871169238121,70.35681147660584,68.38554740221652,66.81678180085866,65.61419547414327,64.75111604202812,64.2090164429031,63.97651965065498,64.04880722607301,64.42737340382341,65.12010105896582,66.14166682343065,67.51431468415252,69.26907570649111,71.44756269522993,74.10454245576081,77.31160077298682,81.16239354665379,85.78027038837288,91.32955476485563,98.03264214319668,106.19668762288454,116.25674799824837,128.84851325069903,134.79222323097605,130.09756315670825,126.2400338914909,123.12160990366729,120.66767421532757,118.82234886230955,117.54523024369335,116.80915603277418,116.59876543209876
2,0.3490658503988659,66.00477302640736,1.279559022887276,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,82.47345948232156,78.40189679055092,75.00833738705144,72.19094339289452,69.87199218061996,67.99199670792132,66.50561566407531,65.37878512404184,64.58671041281964,64.1124859815122,63.94619474270365,64.08439520403442,64.52994619306959,65.29215235902366,66.38724439703118,67.83924088154542,69.68127904006836,71.95755687383532,74.72610957900116,78.0627670523477,82.06683717433644,86.86938700504751,92.64555483193948,99.63332273067387,108.16302563763183,118.70545918017172,131.95381081725841,133.7025451583142,129.19867978735866,125.50846326334906,122.53941948187622
2,0.3490658503988659,65.10215647966224,0.9193114509818203,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,80.4499976100917,76.44615137039423,73.1087821048049,70.33737386472912,68.05523084933284,66.2036515932217,64.73787854804812,63.6242578671897,62.838250309593064,62.36306253317633,62.188751072405026,62.3117076351507,62.73447527113052,63.46587776883476,64.52147467883799,65.92438634028255,67.70657235845671,69.91070000146993,72.59281634103625,75.82615668269719,79.70661129878393,84.36068552589518,89.95732367716606,96.72591728739947,104.98457501485338
2,0.2942738859378817,63.69172491503497,0.5885477715548517,83.64413612189944,73.9955405470571,70.63869151907656,74.98485396923319,80.21803717111126,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,81.01431327135758,76.72287510958674,73.14418076505302,70.16549942439906,67.70110933126075,65.68544945651426,64.06838958500522,62.811923927870254,61.88785063363828,61.276157136224114,60.96393128105632,60.94468437102148,61.21801866204676,61.789607149612095,62.67148371263305,63.882671604688724,65.45021261890352,67.4107037582616,69.81251117604711,72.71892560819349
2,0.15450665721628715,61.950769106450245,0.30901331354852735,198.7488815454788,150.46179411457155,120.75360555688474,100.71125807962461,86.33984704535597,75.58212068345385,69.37761335711475,73.33923390227974,78.09809489072768,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,78.13251593722828,74.20637445638988,70.93350865588569,68.21491592499513,65.9750770172025,64.15619141509805,62.71417182619837,61.61583607552143,60.836939789809676,60.36082079824156,60.17750850248822,60.28320718888931,60.68010256557325,61.37647294650799,62.38711573147165
2,0.05112049475033975,59.996606825209994,0.10224098868855314,203.80197851360836,204.87396993471086,206.85234855921962,209.7790077276448,155.63369701129733,122.78193072451626,101.18616816217603,85.97163106808671,74.72601615124753,68.52562346048244,72.27155539699811,76.76718188864005,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,79.23115004038901,75.07975866398831,71.6179496020375,68.73774106894855,66.3569544288579,64.41272090166942,62.856989970404896,61.653386983289025,60.77500818265642,60.20288935697498,59.924978590050515,59.93550630356519
2,0.06966201624578684,58.01126345722847,0.13932403156171058,204.36717823304247,205.90259226873016,208.36393752107736,169.41402234058876,129.72157525021908,104.79644415689296,87.75882066813539,75.4306083385258,67.02311028990887,70.4569401995039,74.5749830351744,79.52503760336838,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,76.87377133968282,73.0982116637446,69.952013590672,67.34158159279308,65.1954456787844,63.45890770627143,62.09031316495654,61.05843557347549,60.340646948658275,59.92166440441787,59.79273879745983,59.95120322365136
2,0.0758176444393917,56.08819261745318,0.15163528786584846,204.6584900655912,206.29959571174115,208.87231009663387,155.09227257921796,119.5345123144539,96.94090288839631,81.37808800524509,70.05663624749462,67.51606238129655,71.02818710015043,75.24056819414848,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,76.23305419566692,72.5428118148897,69.46859984435575,66.91988753061143,64.82750637102944,63.138527967456284,61.812692567633235,60.81990274818766,60.138472567130904,59.75393303587023,59.65826702901191,59.84949652278533
2,0.05937563957595415,54.1065539246291,0.11875127818644615,204.24751398406883,205.3578094262561,207.37757689228923,176.82170960847662,130.32920521251393,102.7367617809606,84.53679301397275,71.68535588806262,65.82145151171032,68.98058119682217,72.76931304284281,77.31673700647222,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,74.49993078163388,71.08084457945633,68.23667714047673,65.88655014339608,63.96858383904625,62.435492969890305,61.25150466104033,60.39019599727057,59.83299345384063,59.568168533676655,59.59022541650505
2,0.06903315515966771,52.26716918748017,0.13806630928054564,204.52887907802938,205.8477063993005,208.08454857077768,154.31790936816367,115.76805171035365,92.209222715914,76.38296162124968,65.06779761154957,66.5661463432827,69.86417165154508,73.81903994542805,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,73.55270104106656,70.27905722816908,67.55895817047929,65.3164974030415,63.49357973294747,62.045874315392936,60.939978329418324,60.15142913153346,59.663332352952736,59.465456867032174,59.553703864183646
